key,ACK_ID,participants,fund_type,broker_tot,broker_comm,broker_fees,premium,covered,sc_total,sc_direct,sc_indirect,broker_pct,admin_per_p
470321480|505,20240926172402NAL0001113889001,692.0,mixed,7345.0,7345.0,0.0,1063320.0,2101.0,728223.0,321589.0,406634.0,0.006907610126772749,1052.3453757225434
472592811|540,20240820082953NAL0001357523001,1455.0,mixed,153664.0,153664.0,0.0,7532528.0,692.0,535089.0,535089.0,0.0,0.02040005692643957,367.75876288659794
381810810|501,20240820083006NAL0001357603001,115.0,mixed,30098.0,30098.0,0.0,752451.0,137.0,7163.0,4895.0,2268.0,0.039999946840392264,62.28695652173913
010691758|501,20240718140150NAL0005659889001,413.0,mixed,60560.0,60288.0,272.0,5576645.0,2037.0,38535.0,38535.0,0.0,0.010859575963684259,93.30508474576271
470540863|502,20240718143446NAL0003534547001,155.0,fully_insured,7122.0,4550.0,2572.0,87933.0,201.0,127868.0,127868.0,0.0,0.0809934836750708,824.9548387096775
621199969|501,20240927134356NAL0001294979002,240.0,fully_insured,268342.0,0.0,268342.0,2736029.0,524.0,300967.0,300967.0,0.0,0.09807717681354985,1254.0291666666667
202316013|501,20241003102459NAL0004784659001,414.0,mixed,87828.0,87828.0,0.0,2286572.0,414.0,3690.0,3690.0,0.0,0.03841033652122041,8.91304347826087
362167808|522,20240730154705NAL0032282192001,1241.0,mixed,479043.0,376103.0,102940.0,14410964.0,6334.0,26095.0,26095.0,0.0,0.03324156524157579,21.027397260273972
710681030|501,20240730154803NAL0034779136002,545.0,mixed,62515.0,62515.0,0.0,625146.0,566.0,628635.0,21682.0,606953.0,0.10000063985053091,1153.4587155963302
160743209|517,20240725093752NAL0023711200001,18530.0,mixed,65903.0,65903.0,0.0,1824594.0,205.0,7903191.0,7903191.0,0.0,0.036119268176920453,426.5078791149487
841600418|501,20241011115840NAL0044212082001,1113.0,mixed,18860.0,18860.0,0.0,532163.0,1955.0,1041637.0,1041637.0,0.0,0.035440269240815316,935.8823000898473
943302567|501,20240730105303NAL0011745459001,15388.0,mixed,50455.0,50455.0,0.0,953126.0,1355.0,8825393.0,8825393.0,0.0,0.05293633790285859,573.5243696386794
631196441|502,20240724092933NAL0012774657001,314.0,mixed,71851.0,6686.0,65165.0,2703581.0,441.0,57489.0,57489.0,0.0,0.026576233521392552,183.0859872611465
030190150|501,20240731151846NAL0022541921001,164.0,fully_insured,11814.0,11814.0,0.0,58196.0,166.0,114193.0,114193.0,0.0,0.20300364286205239,696.2987804878048
522069785|501,20241011083248NAL0022415873001,389.0,mixed,395364.0,395364.0,0.0,12928943.0,1219.0,6851.0,6851.0,0.0,0.030579762011480754,17.611825192802055
362177139|510,20241011092404NAL0012322963001,27591.0,mixed,269839.0,225755.0,44084.0,95022616.0,16032.0,90201.0,90201.0,0.0,0.0028397344901554804,3.269218223333696
