measure_key,measure_name,pos_group,paid,measure_total_paid,share
plant,Imaging for plantar fasciitis,other,2987195.0,93600639.38,0.03191425848997229
plant,Imaging for plantar fasciitis,er,2400720.43,93600639.38,0.025648547337946616
plant,Imaging for plantar fasciitis,indep_clinic,1199445.24,93600639.38,0.01281449836181664
plant,Imaging for plantar fasciitis,nf,877811.22,93600639.38,0.00937826093725985
plant,Imaging for plantar fasciitis,home,652987.6100000001,93600639.38,0.006976315699607566
plant,Imaging for plantar fasciitis,alf,232476.65,93600639.38,0.0024837079269960003
plant,Imaging for plantar fasciitis,snf,99849.79,93600639.38,0.001066763973637292
plant,Imaging for plantar fasciitis,asc,18462.530000000002,93600639.38,0.00019724790473968666
plant,Imaging for plantar fasciitis,fqhc,11347.54,93600639.38,0.00012123357356493307
plant,Imaging for plantar fasciitis,rehab_inp,8994.52,93600639.38,9.609464272443734e-05
plant,Imaging for plantar fasciitis,custodial,8704.22,93600639.38,9.299316818406118e-05
plant,Imaging for plantar fasciitis,rural_hc,4458.92,93600639.38,4.7637708775659866e-05
plant,Imaging for plantar fasciitis,group_home,4260.3,93600639.38,4.551571472395641e-05
plant,Imaging for plantar fasciitis,phl_state,876.01,93600639.38,9.35901726529424e-06
plant,Imaging for plantar fasciitis,indep_lab,211.56,93600639.38,2.260240970588977e-06
plant,Imaging for plantar fasciitis,inp_psy,120.92,93600639.38,1.2918715171280917e-06
plant,Imaging for plantar fasciitis,rehab_outp,40.71,93600639.38,4.3493292641651185e-07
plant,Imaging for plantar fasciitis,psy_partial,6.53,93600639.38,6.976448070498213e-08
preopec,Preop echocardiogram,office,366526495.53000003,618083087.09,0.5930052175600617
preopec,Preop echocardiogram,inpatient,121519566.94,618083087.09,0.1966071705862829
preopec,Preop echocardiogram,hopd_on_campus,106270209.76999998,618083087.09,0.17193515239242554
preopec,Preop echocardiogram,other,14929057.57,618083087.09,0.024153803722874165
preopec,Preop echocardiogram,er,3667961.38,618083087.09,0.0059344147358393945
preopec,Preop echocardiogram,home,2040691.8,618083087.09,0.003301646400984358
preopec,Preop echocardiogram,nf,1439264.68,618083087.09,0.0023285941810448317
preopec,Preop echocardiogram,indep_clinic,726327.15,618083087.09,0.0011751286601606014
preopec,Preop echocardiogram,alf,545228.2699999999,618083087.09,0.0008821277938003315
preopec,Preop echocardiogram,indep_lab,159820.3,618083087.09,0.0002585741356432364
preopec,Preop echocardiogram,snf,122059.93000000001,618083087.09,0.00019748142693027073
preopec,Preop echocardiogram,custodial,46017.25,618083087.09,7.445155992967554e-05
preopec,Preop echocardiogram,asc,45740.08,618083087.09,7.40031250739267e-05
preopec,Preop echocardiogram,rehab_inp,26101.47,618083087.09,4.222971077058338e-05
preopec,Preop echocardiogram,group_home,8853.32,618083087.09,1.432383474798244e-05
preopec,Preop echocardiogram,fqhc,7040.84,618083087.09,1.1391413463761018e-05
preopec,Preop echocardiogram,inp_psy,2381.0,618083087.09,3.852232895111235e-06
preopec,Preop echocardiogram,rural_hc,251.17000000000002,618083087.09,4.0636931384506037e-07
preopec,Preop echocardiogram,rehab_outp,18.64,618083087.09,3.015775773409215e-08
preopec,Preop echocardiogram,esrd,0.0,618083087.09,0.0
preopst,Preop stress test,office,397850064.45,479731468.92,0.8293182545344872
preopst,Preop stress test,hopd_on_campus,60865293.510000005,479731468.92,0.12687367298839822
preopst,Preop stress test,inpatient,10717363.889999999,479731468.92,0.022340339511451198
preopst,Preop stress test,other,8778914.87,479731468.92,0.018299643527166592
preopst,Preop stress test,er,916948.6,479731468.92,0.001911378884658722
preopst,Preop stress test,indep_clinic,587168.33,479731468.92,0.0012239520816132161
preopst,Preop stress test,asc,10861.01,479731468.92,2.263976975379779e-05
preopst,Preop stress test,home,2519.46,479731468.92,5.251813072992602e-06
preopst,Preop stress test,snf,899.0300000000001,479731468.92,1.8740275721831421e-06
preopst,Preop stress test,alf,415.94,479731468.92,8.670267158758395e-07
preopst,Preop stress test,indep_lab,415.28000000000003,479731468.92,8.656509462156048e-07
preopst,Preop stress test,rehab_inp,266.42,479731468.92,5.553523528481059e-07
preopst,Preop stress test,inp_psy,139.25,479731468.92,2.902665533146864e-07
preopst,Preop stress test,rehab_outp,114.33,479731468.92,2.3832082614339745e-07
preopst,Preop stress test,rural_hc,58.0,479731468.92,1.2090097014184425e-07
preopst,Preop stress test,nf,26.55,479731468.92,5.5343461332171805e-08
preopst,Preop stress test,custodial,0.0,479731468.92,0.0
preopst,Preop stress test,esrd,0.0,479731468.92,0.0
preopst,Preop stress test,fqhc,0.0,479731468.92,0.0
preopst,Preop stress test,group_home,0.0,479731468.92,0.0
preopst,Preop stress test,phl_state,0.0,479731468.92,0.0
preopx,Preop chest X-ray,er,0.0,0.0,
preopx,Preop chest X-ray,home,0.0,0.0,
preopx,Preop chest X-ray,office,0.0,0.0,
preopx,Preop chest X-ray,other,0.0,0.0,
psa,PSA over 75,indep_lab,66196610.86,91293640.84,0.7250955296658097
psa,PSA over 75,office,24999853.05,91293640.84,0.2738400267529521
psa,PSA over 75,nf,29516.040000000005,91293640.84,0.00032330882773893763
psa,PSA over 75,fqhc,14493.830000000002,91293640.84,0.00015876056499271063
psa,PSA over 75,home,12849.16,91293640.84,0.00014074540002757984
psa,PSA over 75,hopd_on_campus,11500.1,91293640.84,0.00012596824810782734
psa,PSA over 75,other,11015.100000000002,91293640.84,0.00012065572036178201
psa,PSA over 75,alf,8393.599999999999,91293640.84,9.19406863694976e-05
psa,PSA over 75,indep_clinic,8278.359999999999,91293640.84,9.067838596237541e-05
psa,PSA over 75,snf,720.8,91293640.84,7.895402060514425e-06
psa,PSA over 75,rural_hc,281.1,91293640.84,3.0790753596151572e-06
psa,PSA over 75,group_home,92.8,91293640.84,1.0165001542948651e-06
psa,PSA over 75,asc,18.02,91293640.84,1.9738505151286065e-07
psa,PSA over 75,er,18.02,91293640.84,1.9738505151286065e-07
psa,PSA over 75,custodial,0.0,91293640.84,0.0
psa,PSA over 75,inp_psy,0.0,91293640.84,0.0
psa,PSA over 75,inpatient,0.0,91293640.84,0.0
psa,PSA over 75,phl_state,0.0,91293640.84,0.0
psa,PSA over 75,rehab_inp,0.0,91293640.84,0.0
pth,PTH for non-dialysis CKD,indep_lab,55220671.05,69062552.08,0.7995747244618765
pth,PTH for non-dialysis CKD,office,13701404.959999999,69062552.08,0.19839123442945897
pth,PTH for non-dialysis CKD,nf,70180.75,69062552.08,0.0010161910888943795
