measure_key,measure_name,mod1,paid,measure_total_paid,share
cerv,Cervical screen over 65,SB,648.3000000000001,27308961.65,2.373945989997024e-05
cerv,Cervical screen over 65,52,455.65,27308961.65,1.66849990797801e-05
cerv,Cervical screen over 65,GE,265.36,27308961.65,9.7169567778129e-06
cerv,Cervical screen over 65,GV,237.81,27308961.65,8.708130431608702e-06
cerv,Cervical screen over 65,22,170.76,27308961.65,6.252892445656204e-06
cerv,Cervical screen over 65,GU,168.6,27308961.65,6.1737975306725e-06
cerv,Cervical screen over 65,LT,162.51,27308961.65,5.9507938120378885e-06
cerv,Cervical screen over 65,CG,158.84,27308961.65,5.816405692597983e-06
cerv,Cervical screen over 65,RT,156.31,27308961.65,5.7237621116217e-06
cerv,Cervical screen over 65,GT,154.23000000000002,27308961.65,5.647596637933688e-06
cerv,Cervical screen over 65,Q1,127.09,27308961.65,4.653783678369918e-06
cerv,Cervical screen over 65,FA,92.1,27308961.65,3.3725192916662944e-06
cerv,Cervical screen over 65,GZ,91.74000000000001,27308961.65,3.3593368058356774e-06
cerv,Cervical screen over 65,Q0,89.74,27308961.65,3.2861007734433577e-06
cerv,Cervical screen over 65,PO,86.87,27308961.65,3.1810070669603805e-06
cerv,Cervical screen over 65,FP,86.6,27308961.65,3.1711202025874167e-06
cerv,Cervical screen over 65,QA,77.87,27308961.65,2.8514449211949443e-06
cerv,Cervical screen over 65,51,67.02,27308961.65,2.454139445466613e-06
cerv,Cervical screen over 65,53,61.300000000000004,27308961.65,2.2446843928245806e-06
cerv,Cervical screen over 65,G2,55.88,27308961.65,2.0462147450413958e-06
cerv,Cervical screen over 65,96,51.7,27308961.65,1.893151437341449e-06
cerv,Cervical screen over 65,GQ,51.7,27308961.65,1.893151437341449e-06
cerv,Cervical screen over 65,XP,51.26,27308961.65,1.8770395102151385e-06
cerv,Cervical screen over 65,AP,48.74,27308961.65,1.7847621094008165e-06
cerv,Cervical screen over 65,U7,48.74,27308961.65,1.7847621094008165e-06
cerv,Cervical screen over 65,G1,45.18,27308961.65,1.6544019717424886e-06
cerv,Cervical screen over 65,Q3,42.39,27308961.65,1.5522377065552033e-06
cerv,Cervical screen over 65,TH,41.55,27308961.65,1.5214785729504291e-06
cerv,Cervical screen over 65,79,39.2,27308961.65,1.4354262348894544e-06
cerv,Cervical screen over 65,HA,38.27,27308961.65,1.401371479827026e-06
cerv,Cervical screen over 65,57,36.06,27308961.65,1.3204456640335134e-06
cerv,Cervical screen over 65,UD,34.21,27308961.65,1.2527023340706183e-06
cerv,Cervical screen over 65,Q5,18.26,27308961.65,6.686449757418734e-07
cerv,Cervical screen over 65,QJ,14.92,27308961.65,5.463408016467005e-07
cerv,Cervical screen over 65,26,0.0,27308961.65,0.0
cerv,Cervical screen over 65,32,0.0,27308961.65,0.0
cerv,Cervical screen over 65,77,0.0,27308961.65,0.0
cerv,Cervical screen over 65,91,0.0,27308961.65,0.0
cerv,Cervical screen over 65,95,0.0,27308961.65,0.0
cerv,Cervical screen over 65,99,0.0,27308961.65,0.0
cerv,Cervical screen over 65,CS,0.0,27308961.65,0.0
cerv,Cervical screen over 65,GY,0.0,27308961.65,0.0
cerv,Cervical screen over 65,JB,0.0,27308961.65,0.0
cerv,Cervical screen over 65,NC,0.0,27308961.65,0.0
cerv,Cervical screen over 65,PA,0.0,27308961.65,0.0
cerv,Cervical screen over 65,QW,0.0,27308961.65,0.0
cerv,Cervical screen over 65,TC,0.0,27308961.65,0.0
cerv,Cervical screen over 65,U6,0.0,27308961.65,0.0
cncr,Cancer screen on dialysis,GLOBAL,551489035.77,1118846294.8,0.4929086670198803
cncr,Cancer screen on dialysis,PT,428324091.58,1118846294.8,0.38282657195246406
cncr,Cancer screen on dialysis,59,39438557.87,1118846294.8,0.03524930819657392
cncr,Cancer screen on dialysis,SG,32469216.060000002,1118846294.8,0.029020265081008342
cncr,Cancer screen on dialysis,GA,15702934.84,1118846294.8,0.01403493483687765
cncr,Cancer screen on dialysis,XS,10729340.91,1118846294.8,0.009589646906698591
cncr,Cancer screen on dialysis,51,8097889.69,1118846294.8,0.0072377141772164005
cncr,Cancer screen on dialysis,74,6068840.640000001,1118846294.8,0.005424195144771731
cncr,Cancer screen on dialysis,KX,4987902.74,1118846294.8,0.0044580768271584754
cncr,Cancer screen on dialysis,90,4547223.55,1118846294.8,0.004064207542299491
cncr,Cancer screen on dialysis,GC,4397121.3,1118846294.8,0.0039300494808234675
cncr,Cancer screen on dialysis,53,3418464.57,1118846294.8,0.003055347804151302
cncr,Cancer screen on dialysis,QW,2291413.18,1118846294.8,0.0020480142720672844
cncr,Cancer screen on dialysis,XU,1660053.99,1118846294.8,0.0014837194328795127
cncr,Cancer screen on dialysis,52,1504058.1400000001,1118846294.8,0.0013442938024555544
cncr,Cancer screen on dialysis,22,1009166.21,1118846294.8,0.0009019703731336878
cncr,Cancer screen on dialysis,AQ,524928.46,1118846294.8,0.0004691694135643841
cncr,Cancer screen on dialysis,CR,510739.54,1118846294.8,0.0004564876716075621
cncr,Cancer screen on dialysis,79,262361.61,1118846294.8,0.0002344929873025129
cncr,Cancer screen on dialysis,AG,250413.9,1118846294.8,0.0002238143891290831
cncr,Cancer screen on dialysis,Q6,217122.86,1118846294.8,0.0001940595960402335
cncr,Cancer screen on dialysis,GW,169172.47,1118846294.8,0.00015120260109565857
cncr,Cancer screen on dialysis,78,119787.62000000001,1118846294.8,0.00010706351762233142
cncr,Cancer screen on dialysis,58,96097.05,1118846294.8,8.588941166148107e-05
cncr,Cancer screen on dialysis,Q4,95480.21999999999,1118846294.8,8.533810269002822e-05
cncr,Cancer screen on dialysis,CC,57636.75,1118846294.8,5.151444864935884e-05
cncr,Cancer screen on dialysis,RT,49836.82,1118846294.8,4.454304423371095e-05
cncr,Cancer screen on dialysis,Q1,46075.91,1118846294.8,4.1181626300363565e-05
cncr,Cancer screen on dialysis,73,34916.98,1118846294.8,3.1208022194184956e-05
cncr,Cancer screen on dialysis,GV,34500.6,1118846294.8,3.083587098634239e-05
cncr,Cancer screen on dialysis,76,30489.010000000002,1118846294.8,2.7250400829588557e-05
cncr,Cancer screen on dialysis,LT,22949.55,1118846294.8,2.0511798722184946e-05
cncr,Cancer screen on dialysis,XE,21744.43,1118846294.8,1.9434689198203886e-05
cncr,Cancer screen on dialysis,X1,17395.06,1118846294.8,1.5547318770099217e-05
cncr,Cancer screen on dialysis,X5,15385.59,1118846294.8,1.3751299058241293e-05
cncr,Cancer screen on dialysis,X2,11791.15,1118846294.8,1.0538668318249857e-05
cncr,Cancer screen on dialysis,77,10323.43,1118846294.8,9.226852739272262e-06
cncr,Cancer screen on dialysis,GX,9883.23,1118846294.8,8.833411743805866e-06
cncr,Cancer screen on dialysis,91,9351.27,1118846294.8,8.357957695763377e-06
cncr,Cancer screen on dialysis,SU,8750.039999999999,1118846294.8,7.820591658270735e-06
cncr,Cancer screen on dialysis,PO,8098.57,1118846294.8,7.238322223203737e-06
cncr,Cancer screen on dialysis,25,7222.2699999999995,1118846294.8,6.455104721324586e-06
cncr,Cancer screen on dialysis,Q5,5485.530000000001,1118846294.8,4.902845033759146e-06
cncr,Cancer screen on dialysis,CG,4883.53,1118846294.8,4.3647907873466735e-06
cncr,Cancer screen on dialysis,TP,4669.23,1118846294.8,4.173254200957649e-06
cncr,Cancer screen on dialysis,PN,4179.07,1118846294.8,3.735160065705926e-06
cncr,Cancer screen on dialysis,X4,4146.71,1118846294.8,3.706237415516711e-06
cncr,Cancer screen on dialysis,95,4128.51,1118846294.8,3.6899706592298227e-06
cncr,Cancer screen on dialysis,UA,3189.71,1118846294.8,2.8508920437281143e-06
cncr,Cancer screen on dialysis,AF,3043.33,1118846294.8,2.720060846734995e-06
cncr,Cancer screen on dialysis,Q0,2977.97,1118846294.8,2.6616435285530697e-06
cncr,Cancer screen on dialysis,GT,2511.9500000000003,1118846294.8,2.2451251898269236e-06
cncr,Cancer screen on dialysis,PD,2314.02,1118846294.8,2.068219746317919e-06
cncr,Cancer screen on dialysis,XP,2252.4900000000002,1118846294.8,2.0132255971787846e-06
cncr,Cancer screen on dialysis,QJ,1870.09,1118846294.8,1.67144495959053e-06
cncr,Cancer screen on dialysis,SA,1849.45,1118846294.8,1.6529973854278167e-06
cncr,Cancer screen on dialysis,26,1622.37,1118846294.8,1.4500383185252517e-06
cncr,Cancer screen on dialysis,55,1303.44,1118846294.8,1.1649857590429767e-06
cncr,Cancer screen on dialysis,KS,1187.46,1118846294.8,1.0613254077158697e-06
cncr,Cancer screen on dialysis,KT,1060.8799999999999,1118846294.8,9.481910115183767e-07
cncr,Cancer screen on dialysis,KY,1012.2900000000001,1118846294.8,9.04762347343656e-07
cncr,Cancer screen on dialysis,X3,987.95,1118846294.8,8.830077952544873e-07
cncr,Cancer screen on dialysis,T5,944.02,1118846294.8,8.437441357114641e-07
cncr,Cancer screen on dialysis,KW,930.39,1118846294.8,8.315619440526569e-07
cncr,Cancer screen on dialysis,AM,824.8900000000001,1118846294.8,7.372683842577803e-07
cncr,Cancer screen on dialysis,AI,782.36,1118846294.8,6.992560136599024e-07
cncr,Cancer screen on dialysis,KK,746.08,1118846294.8,6.668297544242804e-07
cncr,Cancer screen on dialysis,SC,689.51,1118846294.8,6.162687432622314e-07
cncr,Cancer screen on dialysis,KV,668.0,1118846294.8,5.97043582397892e-07
cncr,Cancer screen on dialysis,FS,660.1,1118846294.8,5.899827376360009e-07
cncr,Cancer screen on dialysis,UB,648.78,1118846294.8,5.798651727366832e-07
cncr,Cancer screen on dialysis,SB,648.3000000000001,1118846294.8,5.794361593840621e-07
cncr,Cancer screen on dialysis,TT,622.16,1118846294.8,5.560728072225636e-07
cncr,Cancer screen on dialysis,T1,513.13,1118846294.8,4.5862421173028496e-07
cncr,Cancer screen on dialysis,FP,472.58000000000004,1118846294.8,4.2238152121196985e-07
cncr,Cancer screen on dialysis,KC,430.21,1118846294.8,3.8451215506496576e-07
