hcpcs_cd,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,low_value_share_pass1,primary_measure,max_share_v2,primary_measure_v2,low_value_share_v2,lv_paid_v2,lv_alowd_v2,patient_oop_v2,delta_v_pass1_dedup,share_changed
72133,269168.73999817,348131.78000320797,3925.0,0.0,0.0,0.0,269168.73999817,348131.78000320797,0.5,backscan,0.5,backscan,0.5,134584.369999085,174065.89000160398,39481.520002518984,0.0,False
72141,52889599.618258335,69373745.18990776,619943.5,0.0,0.0,0.0,52889599.618258335,69373745.18990776,0.5,backscan,0.5,backscan,0.5,26444799.809129167,34686872.59495388,8242072.785824712,0.0,False
72142,256301.650001752,329065.059999222,2731.0,0.0,0.0,0.0,256301.650001752,329065.059999222,0.5,backscan,0.5,backscan,0.5,128150.825000876,164532.529999611,36381.704998735004,0.0,False
72146,18951818.430047248,24544377.349702723,243938.0,0.0,0.0,0.0,18951818.430047248,24544377.349702723,0.5,backscan,0.5,backscan,0.5,9475909.215023624,12272188.674851362,2796279.459827738,0.0,False
72147,223665.080003097,283193.780002176,2508.0,0.0,0.0,0.0,223665.080003097,283193.780002176,0.5,backscan,0.5,backscan,0.5,111832.5400015485,141596.890001088,29764.349999539496,0.0,False
72148,129983697.94547887,171098745.44825017,1421759.0,0.0,0.0,0.0,129983697.94547887,171098745.44825017,0.5,backscan,0.5,backscan,0.5,64991848.972739436,85549372.72412509,20557523.75138565,0.0,False
72149,480792.69000833604,613432.909993088,4632.0,0.0,0.0,0.0,480792.69000833604,613432.909993088,0.5,backscan,0.5,backscan,0.5,240396.34500416802,306716.454996544,66320.10999237598,0.0,False
72156,14131963.96011248,18149415.63989684,121357.0,0.0,0.0,0.0,14131963.96011248,18149415.63989684,0.5,backscan,0.5,backscan,0.5,7065981.98005624,9074707.81994842,2008725.8398921797,0.0,False
72157,12538620.03987519,16033757.53960328,106867.0,0.0,0.0,0.0,12538620.03987519,16033757.53960328,0.5,backscan,0.5,backscan,0.5,6269310.019937595,8016878.76980164,1747568.7498640446,0.0,False
72158,27142083.910029143,34942791.03988203,223353.0,0.0,0.0,0.0,27142083.910029143,34942791.03988203,0.5,backscan,0.5,backscan,0.5,13571041.955014572,17471395.519941013,3900353.5649264418,0.0,False
72200,220983.4799962778,295783.8000001056,15557.0,0.0,0.0,0.0,220983.4799962778,295783.8000001056,0.5,backscan,0.5,backscan,0.5,110491.7399981389,147891.9000000528,37400.160001913886,0.0,False
72202,738400.1500078382,1005373.250000489,44659.0,0.0,0.0,0.0,738400.1500078382,1005373.250000489,0.5,backscan,0.5,backscan,0.5,369200.0750039191,502686.6250002445,133486.5499963254,0.0,False
72220,1414437.9700247904,1935567.3200197152,116288.0,0.0,0.0,0.0,1414437.9700247904,1935567.3200197152,0.5,backscan,0.5,backscan,0.5,707218.9850123952,967783.6600098576,260564.67499746243,0.0,False
73620,6230728.510010165,8424283.63985316,409320.0,0.0,0.0,0.0,6230728.510010165,8424283.63985316,0.35,plant,0.35,plant,0.35,2180754.978503558,2948499.273948606,767744.2954450483,0.0,False
73630,47757559.80077816,65128830.37026359,2645833.0,0.0,0.0,0.0,47757559.80077816,65128830.37026359,0.35,plant,0.35,plant,0.35,16715145.930272354,22795090.629592255,6079944.699319901,0.0,False
73650,895741.8799906881,1239751.3199847466,64854.0,0.0,0.0,0.0,895741.8799906881,1239751.3199847466,0.35,plant,0.35,plant,0.35,313509.6579967408,433912.9619946613,120403.30399792054,0.0,False
73718,14931624.399720589,19435216.410340093,148791.0,0.0,0.0,0.0,14931624.399720589,19435216.410340093,0.35,plant,0.35,plant,0.35,5226068.539902206,6802325.743619032,1576257.2037168266,0.0,False
73719,96022.00000110001,124336.439998985,995.0,0.0,0.0,0.0,96022.00000110001,124336.439998985,0.35,plant,0.35,plant,0.35,33607.700000385004,43517.75399964475,9910.053999259748,0.0,False
73720,7786325.910073847,10042501.379887242,65871.0,0.0,0.0,0.0,7786325.910073847,10042501.379887242,0.35,plant,0.35,plant,0.35,2725214.068525846,3514875.4829605343,789661.4144346882,0.0,False
75552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
75553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
75554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
75555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
75556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
75557,279172.360000124,364504.7899916,2776.0,0.0,0.0,0.0,279172.360000124,364504.7899916,0.4,preopst,0.5,preopst,0.5,139586.180000062,182252.3949958,42666.21499573797,27917.236000012403,True
75558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
75559,2551.9700000000003,3326.84,25.0,0.0,0.0,0.0,2551.9700000000003,3326.84,0.4,preopst,0.5,preopst,0.5,1275.9850000000001,1663.42,387.43499999999995,255.197,True
75560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
75561,5799639.620005678,7503713.35012854,47770.0,0.0,0.0,0.0,5799639.620005678,7503713.35012854,0.4,preopst,0.5,preopst,0.5,2899819.810002839,3751856.67506427,852036.8650614307,579963.9620005679,True
75562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
75563,713182.90998108,930925.92001356,4954.0,0.0,0.0,0.0,713182.90998108,930925.92001356,0.4,preopst,0.5,preopst,0.5,356591.45499054,465462.96000678,108871.50501624,71318.29099810799,True
75564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
75574,21129107.46020018,27424422.5302815,171670.0,0.0,0.0,0.0,21129107.46020018,27424422.5302815,0.4,preopst,0.5,preopst,0.5,10564553.73010009,13712211.26514075,3147657.53504066,2112910.746020017,True
75940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,ivc,0.55,ivc,0.55,0.0,0.0,0.0,0.0,False
75960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,renlstent,0.7,renlstent,0.7,0.0,0.0,0.0,0.0,True
75966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,renlstent,0.7,renlstent,0.7,0.0,0.0,0.0,0.0,True
76070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,bmd,0.3,bmd,0.3,0.0,0.0,0.0,0.0,False
76071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,bmd,0.3,bmd,0.3,0.0,0.0,0.0,0.0,False
76075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,bmd,0.3,bmd,0.3,0.0,0.0,0.0,0.0,False
76076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,bmd,0.3,bmd,0.3,0.0,0.0,0.0,0.0,False
76078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,bmd,0.3,bmd,0.3,0.0,0.0,0.0,0.0,False
76880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,plant,0.35,plant,0.35,0.0,0.0,0.0,0.0,False
76881,7193882.000015528,9402016.050041791,182058.0,0.0,0.0,0.0,7193882.000015528,9402016.050041791,0.35,plant,0.35,plant,0.35,2517858.7000054345,3290705.6175146266,772846.9175091921,0.0,False
76882,8947488.380031785,11916771.959983937,327808.0,0.0,0.0,0.0,8947488.380031785,11916771.959983937,0.35,plant,0.35,plant,0.35,3131620.9330111244,4170870.185994378,1039249.2529832534,0.0,False
76977,3642.8500000271997,3642.8500000271997,548.0,0.0,0.0,0.0,3642.8500000271997,3642.8500000271997,0.3,bmd,0.3,bmd,0.3,1092.8550000081598,1092.8550000081598,0.0,0.0,False
77057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,cncr,0.1,cncr,0.1,0.0,0.0,0.0,0.0,False
77078,569089.639995478,569089.639995478,10744.0,0.0,0.0,0.0,569089.639995478,569089.639995478,0.3,bmd,0.3,bmd,0.3,170726.89199864338,170726.89199864338,0.0,0.0,False
77079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,bmd,0.3,bmd,0.3,0.0,0.0,0.0,0.0,False
77080,61448706.730362944,61448716.1404316,2831498.0,0.0,0.0,0.0,61448706.730362944,61448716.1404316,0.3,bmd,0.3,bmd,0.3,18434612.019108884,18434614.84212948,2.8230205960571766,0.0,False
77081,2331786.299991619,2331786.299991619,110683.0,0.0,0.0,0.0,2331786.299991619,2331786.299991619,0.3,bmd,0.3,bmd,0.3,699535.8899974857,699535.8899974857,0.0,0.0,False
77083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,bmd,0.3,bmd,0.3,0.0,0.0,0.0,0.0,False
78350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,bmd,0.3,bmd,0.3,0.0,0.0,0.0,0.0,False
78351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,bmd,0.3,bmd,0.3,0.0,0.0,0.0,0.0,False
78451,2117075.630001984,2764125.060013422,22185.0,0.0,0.0,0.0,2117075.630001984,2764125.060013422,0.4,preopst,0.5,preopst,0.5,1058537.815000992,1382062.530006711,323524.71500571887,211707.56300019834,True
