hsa,year,n_hospitals,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post
4034,2024,2,5297.910595821191,10000.0,4702.089404178809,True,True
4035,2024,10,2079.094780815972,3637.729220920139,1558.634440104167,False,True
4039,2019,12,2020.9134615384614,3614.5525147928997,1593.6390532544383,False,True
4063,2021,2,7952.874763495001,10000.0,2047.1252365049986,True,True
4063,2023,2,7952.874763495001,10000.0,2047.1252365049986,True,True
4065,2025,2,5525.931336742148,10000.0,4474.068663257852,True,True
42019,2019,2,5266.2721893491125,10000.0,4733.7278106508875,True,True
42021,2021,10,1833.9191777058218,3140.5601339647546,1306.6409562589329,False,True
42028,2020,2,5881.358895169278,10000.0,4118.641104830722,True,True
42028,2025,2,5881.358895169278,10000.0,4118.641104830722,True,True
42036,2025,3,3677.073898449571,6620.75763226597,2943.6837338163987,True,True
42037,2019,2,5232.602845059592,10000.0,4767.397154940408,True,True
43020,2022,2,5000.0,10000.0,5000.0,True,True
43039,2019,18,2264.276334667815,4221.550892516488,1957.2745578486729,False,True
44011,2025,2,5137.967572101854,10000.0,4862.032427898146,True,True
44059,2023,43,898.409943143644,1382.8565253586064,484.4465822149624,False,False
44063,2020,28,871.9492149190057,1292.765520239902,420.81630532089616,False,False
45006,2020,29,1258.230981088385,2119.244567337496,861.0135862491109,False,False
45006,2023,30,1240.2131678655546,2088.429353151165,848.2161852856102,False,False
45006,2024,30,1240.2131678655546,2088.429353151165,848.2161852856102,False,False
45006,2025,31,1178.5998426993874,1979.7418633303191,801.1420206309317,False,False
45016,2019,51,489.9220998525483,730.797660416941,240.87556056439269,False,False
45016,2022,66,502.4345725356448,742.8189660979565,240.3843935623117,False,False
45016,2023,66,502.5954780693486,734.9653734067363,232.36989533738767,False,False
45020,2020,5,3061.3192246171743,5518.226865471305,2456.907640854131,True,True
45021,2019,17,1769.6769870057399,3150.771783322704,1381.094796316964,False,True
45026,2021,7,2253.453150807648,3955.5331597659633,1702.0800089583154,False,True
45026,2024,7,2230.458169734941,3883.20515483086,1652.7469850959192,False,True
45026,2025,7,2230.458169734941,3883.20515483086,1652.7469850959192,False,True
45035,2021,4,6535.25377229081,7779.6982167352535,1244.4444444444434,True,True
45036,2020,14,1744.0519557142795,2746.8723321518446,1002.8203764375651,False,True
45039,2024,3,3423.4995773457313,6014.974036952059,2591.4744596063274,True,True
45061,2022,33,1223.6523778203552,1866.0499299379446,642.3975521175894,False,False
45068,2019,98,322.263233247981,432.92914880154143,110.66591555356041,False,False
45068,2020,106,319.09835000778236,428.60078592557943,109.50243591779707,False,False
45068,2025,112,326.9623121314286,432.98018588941676,106.01787375798818,False,False
45070,2024,2,5819.957653165767,10000.0,4180.042346834233,True,True
45073,2025,15,1309.0499297145323,2205.189635596885,896.1397058823529,False,False
45076,2022,2,5041.322314049586,10000.0,4958.677685950414,True,True
45086,2021,43,708.5966333603386,1121.3893496907267,412.7927163303881,False,False
45086,2024,44,679.1790295637398,1069.6716731364907,390.4926435727508,False,False
45094,2024,2,5007.3964497041425,10000.0,4992.6035502958575,True,True
45095,2020,52,553.7735176589472,740.7367200267119,186.96320236776467,False,False
45095,2025,56,529.9352365588763,707.3944652783606,177.45922871948426,False,False
45096,2023,3,5555.555555555556,7764.628533859303,2209.0729783037477,True,True
45114,2021,7,4244.304128375797,6440.205916065072,2195.901787689276,True,True
45114,2025,8,3302.754696227679,4936.940914141623,1634.186217913944,True,True
45131,2020,189,227.02025169468368,303.28284847868224,76.26259678399856,False,False
45131,2022,195,224.30867136894548,298.1209618030786,73.81229043413313,False,False
45131,2025,199,222.67168773430467,292.9468827103558,70.27519497605113,False,False
45133,2020,11,2303.456892961266,3765.3477717617657,1461.8908788004996,False,True
45133,2021,13,1960.2053699183566,3141.9240804646083,1181.7187105462517,False,True
45145,2025,3,4017.70379178227,6998.2824679614205,2980.5786761791505,True,True
45148,2019,7,3121.970745120561,5998.729562046971,2876.7588169264104,True,True
45148,2022,9,3103.6764705882347,5963.5380622837365,2859.861591695502,True,True
45148,2025,10,2864.788732394366,5488.077762348741,2623.289029954375,True,True
45150,2025,3,3338.337399136798,5683.993244511165,2345.6558453743673,True,True
45167,2023,17,1822.8965517241377,3341.0891795481575,1518.1926278240198,False,True
45168,2019,48,824.6619853576979,1357.0588128837246,532.3968275260268,False,False
45168,2021,50,816.7544540639342,1353.858550918329,537.1040968543948,False,False
45168,2023,52,805.368356179905,1337.4567223978609,532.0883662179558,False,False
45168,2024,53,817.6726487075676,1331.7809667426134,514.1083180350457,False,False
45168,2025,53,809.154474128473,1315.0634187418282,505.9089446133552,False,False
45181,2021,17,2522.3569080124043,3370.5974387926162,848.2405307802119,True,True
45181,2022,17,2522.3569080124043,3370.5974387926162,848.2405307802119,True,True
45191,2021,9,2049.6936563295317,3770.4967480441137,1720.803091714582,False,True
45191,2024,10,1924.995335968658,3531.5341319093673,1606.5387959407092,False,True
45194,2019,2,5116.345877621373,10000.0,4883.654122378627,True,True
45194,2022,2,5116.345877621373,10000.0,4883.654122378627,True,True
45196,2021,6,2622.0703125,4597.070312500001,1975.000000000001,True,True
45196,2024,6,2622.0703125,4597.070312500001,1975.000000000001,True,True
45198,2025,13,2685.153124038165,4908.433364112033,2223.280240073868,True,True
45207,2022,2,5437.413211664352,10000.0,4562.586788335648,True,True
45209,2022,2,5075.407817790088,10000.0,4924.592182209912,True,True
45212,2025,6,2563.9404144577898,4369.256295432476,1805.315880974686,True,True
45221,2021,4,5337.95918367347,8194.448979591838,2856.489795918368,True,True
45228,2022,26,1419.67874298038,2174.0165529990045,754.3378100186244,False,False
45228,2025,26,1856.7907669190445,2691.1614264367076,834.3706595176632,False,True
45229,2019,70,652.2437259794978,1043.0884477298714,390.84472175037365,False,False
45229,2022,89,642.520226314481,1005.1439276199005,362.62370130541956,False,False
45229,2025,95,635.1724718569403,931.8814718583644,296.7090000014241,False,False
45232,2020,4,7673.3652644731355,9797.480216576427,2124.114952103291,True,True
45232,2022,4,7673.3652644731355,9797.480216576427,2124.114952103291,True,True
45236,2021,2,5057.397959183674,10000.0,4942.602040816326,True,True
45237,2025,10,2403.6155497006744,4429.416137582121,2025.800587881447,False,True
